token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
SOL,So11111111111111111111111111111111111111112,Kamino,lending,21860165.933662508,0.0,6gTJfuPHEg6uRAijRkMqNc9kan4sVZejKMxmvx2grT1p,SOL (Jito Market)
hSOL,he1iusmfkpAdwvxLNGV8Y1iSbj4rUy6yMhEA3fotn9A,Kamino,lending,21123768.89953348,0.0,CExamod1Ai3d1N8Vh7sBjt5xbZzb2VmGMAFocf7fxCzm,hSOL (Main Market)
PYUSD,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,Kamino,lending,20641292.756205454,0.0,3ZUAwhEtK8XWfK4fy98z4yoptm4GeyeAu21L11HPXaZ5,PYUSD (Figure Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,20038178.777243245,0.0,BnYNV7TdhwASUab7mQCRhzHvasjp8o8xmmvVtKnPe3Zi,USDC (Superstate Opening Bell Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,20006854.477042288,0.0,AYL4LMc4ZCVyq3Z7XPJGWDM4H9PiWjqXAAuuHBEGVR2Z,USDC (OnRe Market)
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Kamino,lending,19559028.231434055,0.0,H2pmnDSjfxeQ8zUeyUohokegYbXZgkjH4kgmoQVybyAX,USX (Solstice Market)
USCC,BTRR3sj1Bn2ZjuemgbeQ6SCtf84iXS81CS7UDTSxUCaK,Kamino,lending,19310504.40042915,0.0,FQnQgBYzJkiVfUZgggfTRn4FGKE3FN94UoZgBreZMgTR,USCC (Superstate Opening Bell Market)
stkeSOL,stke7uu3fXHsGqKVVjKnkmj65LRPVrqr4bLG2SJg7rh,Kamino,lending,18069882.408631314,0.0,2gFjdQLFaFqTKMv4nFGMAP4bX2F5KAsyiJn8yZQHPKSE,stkeSOL (Main Market)
fwdSOL,cPQPBN7WubB3zyQDpzTK2ormx1BMdAym9xkrYUJsctm,Kamino,lending,16861408.09563252,0.0,8qnVHjKMcWAdkFnKvmRigj9J7UAVj2ooJ83GfeNn2DpR,fwdSOL (Main Market)
USDS,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,Kamino,lending,15481487.646757277,0.0,BHUi32TrEsfN2U821G4FprKrR4hTeK4LCWtA3BFetuqA,USDS (Main Market)
PST,59obFNBzyTBGowrkif5uK7ojS58vsuWz3ZCvg6tfZAGw,Kamino,lending,14855213.6610937,0.0,DzgYbR8HFQKf8YLCJ6M3E6ricB1xWAiNGZ2TB7X2KDHz,PST (Huma Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,14833961.623404061,0.0,Atj6UREVWa7WxbF2EMKNyfmYUY1U1txughe2gjhcPDCo,USDC (Maple Market)
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Kamino,lending,14802062.801393408,0.0,JBmLCoKqjdKSStK45onRqe6U6sxVgSpdXoeXe4h7NwJw,USDG (OnRe Market)
USDS,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,Kamino,lending,14610880.465733858,0.0,7SzMWArC8WAenndXFmRyfvcvrNPodqUFkmPrmmoRZvn4,USDS (Figure Market)
